Step,Time,Temp,PotEng,TotEng,Press,Volume
2,0.001,300,6860.676,7015.7494,585803.95,96071.912
1000,0.999,144.37729,6941.281,7015.9112,590483.29,96071.912
2000,1.999,155.7486,6935.3945,7015.9027,590143.72,96071.912
3000,2.999,144.58492,6941.1758,7015.9134,590479.12,96071.912
4000,3.999,155.06744,6935.7475,7015.9036,590163.91,96071.912
5000,4.999,145.55017,6940.6753,7015.9118,590449.59,96071.912
6000,5.999,153.06091,6936.7868,7015.9057,590224.61,96071.912
7000,6.999,150.50152,6938.1095,7015.9055,590300.65,96071.912
8000,7.999,147.75211,6939.5342,7015.9089,590383.5,96071.912
9000,8.999,148.35454,6939.2244,7015.9105,590366.05,96071.912
10000,9.999,149.8705,6938.4374,7015.9072,590319.98,96071.912
10002,10.001,149.76117,6938.4942,7015.9074,590323.24,96071.912
10002,10.001,149.76117,6938.4942,7015.9074,590323.24,96071.912
11000,10.999,149.83404,6938.3816,7015.8325,590314.07,96072.114
12000,11.999,152.60971,6936.3376,7015.2233,590175.43,96073.759
13000,12.999,149.48683,6936.2668,7013.5382,590117.41,96078.345
14000,13.999,152.27013,6931.5475,7010.2577,589736.87,96087.245
15000,14.999,152.02644,6926.3783,7004.9625,589264.07,96101.638
16000,15.999,150.93394,6919.2886,6997.3081,588604.93,96122.464
17000,16.999,149.58759,6909.7354,6987.0589,587717.92,96150.382
18000,17.999,149.29355,6896.9315,6974.1031,586554.37,96185.738
19000,18.999,149.84811,6880.9895,6958.4476,585121.59,96228.551
20000,19.999,150.54126,6862.4116,6940.2281,583453.7,96278.511
21000,20.999,150.21185,6842.0444,6919.6906,581607.61,96334.994
22000,21.999,146.79895,6821.3118,6897.1939,579678.28,96397.085
23000,22.999,149.56802,6795.8494,6873.1628,577426.17,96463.624
24000,23.999,150.7925,6770.1692,6848.1156,575130.18,96533.255
25000,24.999,147.92295,6746.1309,6822.5939,572913.94,96604.491
26000,25.999,150.34407,6719.4356,6797.1502,570549.21,96675.785
27000,26.999,147.48645,6696.0987,6772.3361,568399.46,96745.599
28000,27.999,147.66566,6672.3241,6748.6542,566262.87,96812.478
29000,28.999,146.62714,6650.7625,6726.5557,564306.14,96875.116
30000,29.999,147.92431,6629.9428,6706.4066,562455.31,96932.415
31000,30.999,142.24126,6614.9694,6688.4955,561014.27,96983.528
32000,31.999,145.58817,6597.723,6672.9792,559520.91,97027.894
33000,32.999,145.53043,6584.7184,6659.9447,558352.35,97065.259
34000,33.999,144.46815,6574.6783,6649.3556,557433.03,97095.679
35000,34.999,146.45256,6565.3647,6641.0677,556629.94,97119.511
36000,35.999,146.29646,6559.2358,6634.8581,556077.82,97137.399
37000,36.999,146.79318,6554.5265,6630.4056,555663.02,97150.231
38000,37.999,146.12428,6551.7954,6627.3287,555406.48,97159.109
39000,38.999,144.50903,6550.4894,6625.1877,555262.49,97165.292
40000,39.999,144.44538,6548.8414,6623.5069,555113.72,97170.144
41000,40.999,145.8017,6546.4338,6621.8004,554920.59,97175.073
42000,41.999,144.61071,6544.8335,6619.5844,554756.93,97181.474
43000,42.999,143.45102,6542.2539,6616.4053,554506.53,97190.671
44000,43.999,147.01661,6535.8464,6611.841,553991.89,97203.859
45000,44.999,145.20281,6530.4971,6605.554,553481.23,97222.057
46000,45.999,145.73906,6521.9297,6597.2639,552721.98,97246.068
47000,46.999,145.54528,6511.5618,6586.7958,551789.38,97276.448
48000,47.999,146.93699,6498.1005,6574.0539,550605.78,97313.481
49000,48.999,144.27759,6484.4826,6559.0613,549341.06,97357.174
50000,49.999,147.07113,6465.8904,6541.9131,547722.88,97407.253
51000,50.999,142.66676,6449.0809,6522.827,546144.58,97463.183
52000,51.999,144.80816,6427.2178,6502.0708,544224.15,97524.186
53000,52.999,145.02209,6405.0375,6480.0011,542244.46,97589.279
54000,53.999,146.11718,6381.4878,6457.0174,540157.41,97657.321
55000,54.999,146.33317,6357.9074,6433.5486,538054.39,97727.059
56000,55.999,141.30604,6337.0063,6410.049,536104.5,97797.19
57000,56.999,145.70257,6311.6152,6386.9305,533911.96,97866.414
58000,57.999,143.49027,6290.4471,6364.6188,531987.35,97933.497
59000,58.999,142.82627,6269.6384,6343.467,530121.51,97997.32
60000,59.999,141.92391,6250.4186,6323.7807,528394.02,98056.928
61000,60.999,141.44727,6232.6765,6305.7922,526806.19,98111.563
62000,61.999,142.39699,6216.0558,6289.6624,525343.14,98160.697
63000,62.999,142.45519,6201.8304,6275.4671,524078.33,98204.044
64000,63.999,142.85432,6189.3667,6263.2097,522976,98241.568
65000,64.999,142.29069,6179.2576,6252.8092,522067.96,98273.475
66000,65.999,143.14872,6170.1121,6244.1073,521269.05,98300.203
67000,66.999,143.07015,6162.9388,6236.8933,520629.78,98322.395
68000,67.999,140.73854,6158.1499,6230.8992,520165.3,98340.867
69000,68.999,144.57323,6151.0704,6225.802,519600.03,98356.576
70000,69.999,142.32186,6147.6991,6221.2669,519263.24,98370.576
71000,70.999,140.36975,6144.3739,6216.9326,518935.39,98383.973
72000,71.999,143.77237,6138.1133,6212.4308,518436.4,98397.882
73000,72.999,140.84872,6134.6175,6207.4238,518076.88,98413.382
74000,73.999,143.46954,6127.4162,6201.5773,517480.47,98431.472
75000,74.999,140.77952,6121.8526,6194.6231,516941.67,98453.036
76000,75.999,140.83831,6113.5151,6186.316,516202.84,98478.811
77000,76.999,141.52167,6103.3338,6176.488,515310.71,98509.355
78000,77.999,139.75615,6092.7877,6165.0292,514345.38,98545.035
79000,78.999,143.70798,6077.6084,6151.8926,513064.87,98586.01
80000,79.999,139.96074,6064.7701,6137.1174,511864.13,98632.23
81000,80.999,140.01498,6048.4079,6120.7832,510414.73,98683.44
82000,81.999,141.21627,6030.058,6103.0543,508808.7,98739.197
83000,82.999,139.314,6012.1223,6084.1353,507189.3,98798.884
84000,83.999,139.50739,5992.165,6064.2779,505425.81,98861.744
85000,84.999,140.6237,5971.0723,6043.7623,503578.02,98926.91
86000,85.999,137.35948,5951.8927,6022.8953,501828.56,98993.443
87000,86.999,140.16309,5929.5246,6001.9765,499897.82,99060.372
88000,87.999,139.53697,5909.1848,5981.3131,498090.74,99126.736
89000,88.999,139.40586,5889.1233,5961.1837,496317.27,99191.621
90000,89.999,137.36475,5870.8344,5941.8398,494669.25,99254.198
91000,90.999,139.69684,5851.2764,5923.4872,492982.4,99313.752
92000,91.999,138.55924,5834.6798,5906.3027,491501.08,99369.711
93000,92.999,140.22578,5817.9087,5890.393,490050.8,99421.664
94000,93.999,138.19174,5804.3928,5875.8257,488826.34,99469.37
95000,94.999,137.45906,5791.5573,5862.6114,487684.75,99512.767
96000,95.999,139.2901,5778.6963,5850.6969,486582.79,99551.961
97000,96.999,137.10289,5769.1374,5840.0074,485705.13,99587.227
98000,97.999,139.89494,5758.077,5830.3903,484778.11,99618.985
99000,98.999,137.13769,5750.8071,5821.6952,484093.82,99647.784
100000,99.999,137.05282,5742.8585,5813.7026,483392.58,99674.276
101000,100.999,136.60973,5735.5844,5806.1995,482745.3,99699.193
102000,101.999,136.84643,5728.2076,5798.945,482101.04,99723.311
103000,102.999,137.01977,5720.8753,5791.7024,481458.58,99747.425
104000,103.999,138.68572,5712.5449,5784.2332,480754.61,99772.319
105000,104.999,138.31303,5704.8229,5776.3185,480070.41,99798.734
106000,105.999,137.87868,5696.4911,5767.7622,479330.83,99827.345
107000,106.999,137.34256,5687.3943,5758.3882,478523.54,99858.735
108000,107.999,135.65632,5677.9412,5748.0635,477665.31,99893.377
109000,108.999,138.16189,5665.2614,5736.6788,476593.81,99931.619
110000,109.999,136.50165,5653.637,5724.1963,475546.75,99973.671
111000,110.999,137.39103,5639.5691,5710.588,474328.01,100019.6
112000,111.999,135.86348,5625.6668,5695.8962,473083.3,100069.35
113000,112.999,135.61264,5610.0762,5680.176,471712.72,100122.69
114000,113.999,135.98788,5593.2524,5663.5461,470245.55,100179.3
115000,114.999,136.00797,5575.8376,5646.1416,468720.96,100238.73
116000,115.999,134.29128,5558.7164,5628.1331,467193.25,100300.45
117000,116.999,136.26298,5539.2472,5609.6831,465523.82,100363.86
118000,117.999,133.5023,5522.0071,5591.0159,463969.55,100428.28
119000,118.999,134.83764,5502.5966,5572.2957,462295.69,100493.07
120000,119.999,134.82076,5484.0506,5553.741,460675.9,100557.54
121000,120.999,132.75582,5466.9056,5535.5285,459144.42,100621.07
122000,121.999,134.7,5448.1728,5517.8008,457541.46,100683.08
123000,122.999,134.34699,5431.2697,5500.7152,456061.27,100743.06
124000,123.999,134.47527,5414.8692,5484.381,454633.55,100800.61
125000,124.999,132.75114,5400.2625,5468.8831,453331.47,100855.4
126000,125.999,133.52958,5385.2137,5454.2366,452033.42,100907.26
127000,126.999,135.11358,5370.6391,5440.4809,450791.22,100956.1
128000,127.999,133.66094,5358.533,5427.6239,449712.19,101001.97
129000,128.999,134.50909,5346.0394,5415.5687,448639.15,101045.01
130000,129.999,131.05866,5336.5403,5404.286,447755.22,101085.48
131000,130.999,132.78222,5324.9837,5393.6204,446778.32,101123.73
132000,131.999,130.7818,5315.8823,5383.4849,445954.71,101160.17
133000,132.999,134.68498,5304.101,5373.7212,444994.98,101195.29
134000,133.999,133.63045,5295.1449,5364.22,444198.85,101229.61
135000,134.999,133.40345,5285.8458,5354.8036,443387.11,101263.68
136000,135.999,131.8059,5277.2074,5345.3394,442608.74,101298.05
137000,136.999,133.69932,5266.5206,5335.6313,441712.41,101333.24
138000,137.999,132.02926,5257.354,5325.6014,440889.25,101369.76
139000,138.999,132.45606,5246.6492,5315.1173,439964.64,101408.05
140000,139.999,129.41493,5237.1609,5304.057,439091.24,101448.48
141000,140.999,130.98362,5224.6167,5292.3236,438029.9,101491.38
142000,141.999,132.12896,5211.615,5279.9139,436920.13,101536.94
143000,142.999,132.10906,5198.4698,5266.7585,435780.7,101585.3
144000,143.999,133.91751,5183.6684,5252.8918,434526.92,101636.48
145000,144.999,131.8368,5170.1779,5238.3258,433323.67,101690.41
146000,145.999,132.81678,5154.4228,5223.0773,431975.9,101746.96
147000,146.999,130.86044,5139.6356,5207.2789,430662.1,101805.86
148000,147.999,128.22563,5124.7062,5190.9874,429325.99,101866.82
149000,148.999,131.32968,5106.3809,5174.2667,427790.88,101929.45
150000,149.999,131.77686,5089.1645,5157.2814,426309.49,101993.35
151000,150.999,128.56471,5073.7225,5140.1791,424920.22,102058.06
152000,151.999,131.93994,5054.7854,5122.9867,423339.69,102123.11
153000,152.999,130.67475,5038.3552,5105.9024,421900.67,102188.05
154000,153.999,130.0318,5021.845,5089.0599,420462.79,102252.44
155000,154.999,128.22538,5006.2633,5072.5445,419086.18,102315.86
156000,155.999,130.86279,4988.7071,5056.3516,417616.2,102377.97
157000,156.999,128.43535,4974.3293,5040.719,416333.71,102438.46
158000,157.999,129.18134,4958.8062,5025.5815,415006.54,102497.1
159000,158.999,128.94851,4944.3327,5010.9877,413755.91,102553.74
160000,159.999,129.34278,4930.1202,4996.979,412537.56,102608.3
161000,160.999,128.06051,4917.3857,4983.5816,411417.65,102660.78
162000,161.999,128.26821,4904.4142,4970.7175,410302.97,102711.26
163000,162.999,127.93277,4892.2441,4958.374,409248.08,102759.89
164000,163.999,127.94766,4880.333,4946.4705,408221.73,102806.87
165000,164.999,127.87686,4868.8576,4934.9586,407231.26,102852.5
166000,165.999,129.80521,4856.5821,4923.6799,406207.9,102897.07
167000,166.999,128.43068,4846.2535,4912.6408,405297.16,102940.94
168000,167.999,128.73159,4835.1386,4901.6814,404348.09,102984.48
169000,168.999,127.39257,4824.9853,4890.836,403448.62,103028.07
170000,169.999,127.66656,4813.876,4879.8682,402496.29,103072.09
171000,170.999,127.31832,4802.8643,4868.6766,401545.5,103116.9
172000,171.999,127.34317,4791.4648,4857.29,400564.31,103162.83
173000,172.999,126.55685,4780.1397,4845.5584,399578.21,103210.18
174000,173.999,127.92,4767.3158,4833.4391,398499.68,103259.19
175000,174.999,126.80218,4755.3815,4820.927,397454.9,103310.06
176000,175.999,127.73583,4741.899,4807.9271,396313.08,103362.93
177000,176.999,125.24298,4729.7653,4794.5048,395228.93,103417.87
178000,177.999,126.06177,4715.4386,4780.6013,394011.16,103474.88
179000,178.999,125.68995,4701.2765,4766.2471,392788.98,103533.92
180000,179.999,127.17821,4685.7335,4751.4734,391479.14,103594.88
181000,180.999,125.22859,4671.5913,4736.3234,390234.36,103657.59
182000,181.999,125.24263,4656.1421,4720.8814,388908.47,103721.84
183000,182.999,124.13191,4640.9889,4705.1541,387591.87,103787.37
184000,183.999,125.10758,4624.5763,4689.2459,386202.02,103853.9
185000,184.999,124.68513,4608.8105,4673.2616,384843.59,103921.12
186000,185.999,124.57841,4592.8728,4657.2688,383474.55,103988.73
187000,186.999,124.88879,4576.6891,4641.2456,382095.9,104056.41
188000,187.999,126.43772,4560.0239,4625.381,380694.54,104123.86
189000,188.999,124.39345,4545.4009,4609.7013,379409.57,104190.81
